State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,
Nevada,NV,32,1981,11.91,215.50,79.04,60.24,
Nevada,NV,32,1982,5.41,227.16,83.31,63.50,
Nevada,NV,32,1983,-2.37,221.77,81.33,61.99,
Nevada,NV,32,1984,-0.43,220.81,80.98,61.72,
Nevada,NV,32,1985,1.26,223.61,82.01,62.50,
Nevada,NV,32,1986,3.85,232.21,85.16,64.91,
Nevada,NV,32,1987,1.52,235.73,86.45,65.89,
Nevada,NV,32,1988,2.45,241.49,88.57,67.51,
Nevada,NV,32,1989,4.99,253.55,92.99,70.87,
Nevada,NV,32,1990,7.54,272.67,100.00,76.22,
Nevada,NV,32,1991,5.50,287.66,105.50,80.41,
Nevada,NV,32,1992,2.95,296.15,108.61,82.78,
Nevada,NV,32,1993,1.70,301.19,110.46,84.19,
Nevada,NV,32,1994,1.54,305.83,112.16,85.49,
Nevada,NV,32,1995,4.06,318.24,116.72,88.96,
Nevada,NV,32,1996,2.34,325.68,119.44,91.04,
Nevada,NV,32,1997,2.48,333.75,122.40,93.29,
Nevada,NV,32,1998,2.08,340.70,124.95,95.24,
Nevada,NV,32,1999,1.30,345.14,126.58,96.48,
Nevada,NV,32,2000,3.65,357.74,131.20,100.00,
Nevada,NV,32,2001,6.12,379.65,139.24,106.12,
Nevada,NV,32,2002,6.01,402.46,147.60,112.50,
Nevada,NV,32,2003,6.23,427.52,156.79,119.51,
Nevada,NV,32,2004,27.75,546.16,200.30,152.67,
Nevada,NV,32,2005,25.21,683.84,250.80,191.16,
Nevada,NV,32,2006,8.45,741.62,271.99,207.31,
Nevada,NV,32,2007,-3.86,712.96,261.48,199.30,
Nevada,NV,32,2008,-18.55,580.74,212.99,162.34,
Nevada,NV,32,2009,-23.07,446.79,163.86,124.89,
Nevada,NV,32,2010,-14.14,383.61,140.69,107.23,
Nevada,NV,32,2011,-12.87,334.25,122.59,93.43,
Nevada,NV,32,2012,-1.43,329.49,120.84,92.10,
Nevada,NV,32,2013,15.57,380.79,139.65,106.44,
Nevada,NV,32,2014,18.01,449.38,164.81,125.61,
Nevada,NV,32,2015,9.92,493.95,181.16,138.08,
Nevada,NV,32,2016,9.37,540.25,198.14,151.02,
Nevada,NV,32,2017,9.57,591.95,217.10,165.47,
Nevada,NV,32,2018,13.05,669.22,245.44,187.07,
Nevada,NV,32,2019,6.24,710.98,260.75,198.74,
Nevada,NV,32,2020,3.07,732.83,268.77,204.85,
Nevada,NV,32,2021,15.88,849.19,311.44,237.38,
Nevada,NV,32,2022,18.32,1004.78,368.50,280.87,
Nevada,NV,32,2023,0.37,1008.47,369.86,281.90,
Nevada,NV,32,2024,5.80,1066.95,391.30,298.25,
New Hampshire,NH,33,1975,,100.00,29.15,23.69,
New Hampshire,NH,33,1976,3.62,103.62,30.20,24.55,
New Hampshire,NH,33,1977,9.58,113.55,33.10,26.90,
New Hampshire,NH,33,1978,11.41,126.50,36.87,29.97,
New Hampshire,NH,33,1979,19.38,151.02,44.02,35.77,
New Hampshire,NH,33,1980,7.52,162.37,47.33,38.46,
New Hampshire,NH,33,1981,4.31,169.37,49.37,40.12,
New Hampshire,NH,33,1982,4.31,176.66,51.50,41.85,
New Hampshire,NH,33,1983,5.61,186.57,54.38,44.20,
New Hampshire,NH,33,1984,17.15,218.57,63.71,51.78,
New Hampshire,NH,33,1985,18.12,258.18,75.26,61.16,
New Hampshire,NH,33,1986,19.63,308.85,90.03,73.16,
New Hampshire,NH,33,1987,12.89,348.67,101.63,82.59,
New Hampshire,NH,33,1988,4.94,365.90,106.66,86.68,
New Hampshire,NH,33,1989,0.20,366.63,106.87,86.85,
New Hampshire,NH,33,1990,-6.43,343.06,100.00,81.27,
New Hampshire,NH,33,1991,-8.56,313.68,91.44,74.31,
New Hampshire,NH,33,1992,-3.57,302.47,88.17,71.65,
New Hampshire,NH,33,1993,-1.19,298.87,87.12,70.80,
New Hampshire,NH,33,1994,-0.59,297.10,86.60,70.38,
New Hampshire,NH,33,1995,1.46,301.45,87.87,71.41,
New Hampshire,NH,33,1996,2.96,310.37,90.47,73.52,
New Hampshire,NH,33,1997,3.58,321.48,93.71,76.15,
New Hampshire,NH,33,1998,5.98,340.70,99.31,80.71,
New Hampshire,NH,33,1999,7.59,366.57,106.85,86.83,
New Hampshire,NH,33,2000,15.16,422.14,123.05,100.00,
New Hampshire,NH,33,2001,11.58,471.01,137.30,111.58,
New Hampshire,NH,33,2002,10.98,522.73,152.37,123.83,
New Hampshire,NH,33,2003,7.15,560.12,163.27,132.68,
New Hampshire,NH,33,2004,11.26,623.17,181.65,147.62,
New Hampshire,NH,33,2005,10.83,690.69,201.33,163.61,
New Hampshire,NH,33,2006,2.99,711.36,207.36,168.51,
New Hampshire,NH,33,2007,-1.81,698.49,203.61,165.46,
New Hampshire,NH,33,2008,-3.93,671.05,195.61,158.96,
New Hampshire,NH,33,2009,-7.55,620.41,180.85,146.97,
New Hampshire,NH,33,2010,-4.32,593.62,173.04,140.62,
New Hampshire,NH,33,2011,-3.30,574.02,167.32,135.98,
New Hampshire,NH,33,2012,-2.41,560.17,163.29,132.70,
New Hampshire,NH,33,2013,0.68,563.99,164.40,133.60,
New Hampshire,NH,33,2014,3.85,585.72,170.73,138.75,
New Hampshire,NH,33,2015,3.59,606.75,176.86,143.73,
New Hampshire,NH,33,2016,3.89,630.34,183.74,149.32,
New Hampshire,NH,33,2017,5.59,665.57,194.01,157.66,
New Hampshire,NH,33,2018,6.02,705.66,205.69,167.16,
New Hampshire,NH,33,2019,5.13,741.86,216.25,175.74,
New Hampshire,NH,33,2020,5.03,779.19,227.13,184.58,
New Hampshire,NH,33,2021,14.21,889.88,259.40,210.80,
New Hampshire,NH,33,2022,16.24,1034.41,301.52,245.04,
New Hampshire,NH,33,2023,10.36,1141.55,332.76,270.42,
New Hampshire,NH,33,2024,8.30,1236.27,360.37,292.86,
New Jersey,NJ,34,1975,,100.00,25.72,21.39,
New Jersey,NJ,34,1976,4.03,104.03,26.76,22.25,
New Jersey,NJ,34,1977,4.98,109.21,28.09,23.36,
New Jersey,NJ,34,1978,12.87,123.27,31.71,26.36,
New Jersey,NJ,34,1979,19.90,147.80,38.02,31.61,
New Jersey,NJ,34,1980,14.28,168.91,43.45,36.12,
New Jersey,NJ,34,1981,6.37,179.68,46.22,38.43,
New Jersey,NJ,34,1982,2.18,183.59,47.22,39.26,
New Jersey,NJ,34,1983,5.27,193.26,49.71,41.33,
New Jersey,NJ,34,1984,15.51,223.24,57.42,47.74,
New Jersey,NJ,34,1985,15.04,256.82,66.06,54.92,
New Jersey,NJ,34,1986,19.17,306.05,78.72,65.45,
New Jersey,NJ,34,1987,18.41,362.39,93.21,77.50,
New Jersey,NJ,34,1988,10.87,401.79,103.34,85.92,
New Jersey,NJ,34,1989,0.23,402.73,103.59,86.13,
New Jersey,NJ,34,1990,-3.46,388.79,100.00,83.14,
New Jersey,NJ,34,1991,-4.04,373.07,95.96,79.78,
New Jersey,NJ,34,1992,0.63,375.40,96.56,80.28,
New Jersey,NJ,34,1993,0.76,378.24,97.29,80.89,
New Jersey,NJ,34,1994,0.08,378.53,97.36,80.95,
New Jersey,NJ,34,1995,0.01,378.56,97.37,80.96,
New Jersey,NJ,34,1996,1.75,385.17,99.07,82.37,
New Jersey,NJ,34,1997,1.57,391.22,100.63,83.66,
New Jersey,NJ,34,1998,3.53,405.03,104.18,86.62,
New Jersey,NJ,34,1999,4.41,422.91,108.78,90.44,
New Jersey,NJ,34,2000,10.57,467.61,120.27,100.00,
New Jersey,NJ,34,2001,9.67,512.81,131.90,109.67,
New Jersey,NJ,34,2002,10.92,568.82,146.31,121.64,
New Jersey,NJ,34,2003,7.96,614.11,157.95,131.33,
New Jersey,NJ,34,2004,14.59,703.72,181.00,150.49,
New Jersey,NJ,34,2005,16.47,819.63,210.82,175.28,
New Jersey,NJ,34,2006,8.78,891.56,229.32,190.66,
New Jersey,NJ,34,2007,-0.37,888.23,228.46,189.95,
New Jersey,NJ,34,2008,-4.71,846.35,217.69,181.00,
New Jersey,NJ,34,2009,-8.46,774.78,199.28,165.69,
New Jersey,NJ,34,2010,-3.91,744.49,191.49,159.21,
New Jersey,NJ,34,2011,-4.28,712.60,183.29,152.39,
New Jersey,NJ,34,2012,-3.59,687.03,176.71,146.92,
New Jersey,NJ,34,2013,0.37,689.56,177.36,147.47,
New Jersey,NJ,34,2014,2.79,708.78,182.30,151.57,
New Jersey,NJ,34,2015,2.29,725.00,186.48,155.05,
New Jersey,NJ,34,2016,2.31,741.73,190.78,158.62,
New Jersey,NJ,34,2017,2.18,757.87,194.93,162.07,
New Jersey,NJ,34,2018,3.33,783.07,201.41,167.46,
New Jersey,NJ,34,2019,3.32,809.05,208.10,173.02,
New Jersey,NJ,34,2020,3.24,835.27,214.84,178.63,
New Jersey,NJ,34,2021,10.81,925.54,238.06,197.93,
New Jersey,NJ,34,2022,14.96,1064.00,273.67,227.54,
New Jersey,NJ,34,2023,10.46,1175.27,302.29,251.34,
New Jersey,NJ,34,2024,9.15,1282.80,329.95,274.33,
New Mexico,NM,35,1975,,100.00,42.78,29.46,
New Mexico,NM,35,1976,9.41,109.41,46.81,32.23,
New Mexico,NM,35,1977,15.67,126.55,54.15,37.28,
New Mexico,NM,35,1978,9.99,139.19,59.55,41.01,
New Mexico,NM,35,1979,15.47,160.73,68.77,47.35,
New Mexico,NM,35,1980,9.62,176.19,75.38,51.91,
New Mexico,NM,35,1981,11.78,196.96,84.27,58.02,
New Mexico,NM,35,1982,5.94,208.65,89.27,61.47,
New Mexico,NM,35,1983,5.47,220.07,94.16,64.83,
New Mexico,NM,35,1984,0.26,220.65,94.40,65.00,
New Mexico,NM,35,1985,1.61,224.19,95.92,66.05,
New Mexico,NM,35,1986,3.25,231.47,99.03,68.19,
New Mexico,NM,35,1987,0.05,231.60,99.09,68.23,
New Mexico,NM,35,1988,-2.00,226.97,97.11,66.86,
New Mexico,NM,35,1989,2.03,231.58,99.08,68.22,
New Mexico,NM,35,1990,0.93,233.73,100.00,68.86,
New Mexico,NM,35,1991,3.10,240.97,103.10,70.99,
New Mexico,NM,35,1992,4.38,251.53,107.62,74.10,
New Mexico,NM,35,1993,5.80,266.12,113.86,78.40,
New Mexico,NM,35,1994,8.81,289.57,123.89,85.31,
New Mexico,NM,35,1995,7.92,312.49,133.70,92.06,
New Mexico,NM,35,1996,2.00,318.72,136.37,93.90,
New Mexico,NM,35,1997,2.00,325.09,139.09,95.77,
New Mexico,NM,35,1998,1.36,329.50,140.97,97.07,
New Mexico,NM,35,1999,1.12,333.20,142.56,98.16,
New Mexico,NM,35,2000,1.87,339.44,145.23,100.00,
New Mexico,NM,35,2001,3.58,351.58,150.42,103.58,
New Mexico,NM,35,2002,3.17,362.72,155.19,106.86,
New Mexico,NM,35,2003,3.63,375.88,160.82,110.74,
New Mexico,NM,35,2004,6.84,401.60,171.82,118.31,
New Mexico,NM,35,2005,12.29,450.97,192.95,132.86,
New Mexico,NM,35,2006,13.11,510.07,218.23,150.27,
New Mexico,NM,35,2007,5.58,538.53,230.41,158.65,
New Mexico,NM,35,2008,-0.96,533.35,228.19,157.12,
New Mexico,NM,35,2009,-5.10,506.14,216.55,149.11,
New Mexico,NM,35,2010,-4.22,484.79,207.42,142.82,
New Mexico,NM,35,2011,-4.30,463.94,198.50,136.68,
New Mexico,NM,35,2012,-2.78,451.07,192.99,132.89,
New Mexico,NM,35,2013,0.91,455.17,194.74,134.09,
New Mexico,NM,35,2014,1.32,461.19,197.32,135.87,
New Mexico,NM,35,2015,1.61,468.63,200.50,138.06,
New Mexico,NM,35,2016,2.74,481.49,206.00,141.85,
New Mexico,NM,35,2017,3.28,497.29,212.77,146.50,
New Mexico,NM,35,2018,3.95,516.93,221.17,152.29,
New Mexico,NM,35,2019,4.88,542.16,231.96,159.72,
New Mexico,NM,35,2020,4.75,567.91,242.98,167.31,
New Mexico,NM,35,2021,11.36,632.40,270.57,186.31,
New Mexico,NM,35,2022,14.70,725.36,310.34,213.69,
New Mexico,NM,35,2023,8.06,783.79,335.34,230.91,
New Mexico,NM,35,2024,5.27,825.09,353.01,243.07,
New York,NY,36,1975,,100.00,27.64,22.74,
New York,NY,36,1976,-4.81,95.19,26.31,21.64,
New York,NY,36,1977,10.78,105.45,29.15,23.98,
New York,NY,36,1978,2.93,108.54,30.01,24.68,
New York,NY,36,1979,13.93,123.66,34.18,28.11,
New York,NY,36,1980,14.22,141.25,39.05,32.11,
New York,NY,36,1981,5.05,148.37,41.02,33.73,
New York,NY,36,1982,10.92,164.58,45.50,37.42,
New York,NY,36,1983,9.54,180.28,49.84,40.99,
New York,NY,36,1984,17.54,211.90,58.58,48.18,
New York,NY,36,1985,16.10,246.01,68.01,55.93,
New York,NY,36,1986,17.60,289.30,79.97,65.77,
New York,NY,36,1987,14.41,330.98,91.50,75.25,
New York,NY,36,1988,9.02,360.85,99.75,82.04,
New York,NY,36,1989,1.18,365.11,100.93,83.01,
New York,NY,36,1990,-0.92,361.74,100.00,82.24,
New York,NY,36,1991,-1.46,356.47,98.54,81.04,
New York,NY,36,1992,1.13,360.49,99.66,81.96,
New York,NY,36,1993,-0.15,359.97,99.51,81.84,
New York,NY,36,1994,-1.80,353.50,97.72,80.37,
New York,NY,36,1995,-0.39,352.13,97.34,80.06,
New York,NY,36,1996,1.56,357.63,98.86,81.31,
New York,NY,36,1997,0.91,360.89,99.76,82.05,
New York,NY,36,1998,4.20,376.06,103.96,85.50,
New York,NY,36,1999,5.10,395.23,109.26,89.86,
New York,NY,36,2000,11.29,439.84,121.59,100.00,
New York,NY,36,2001,8.30,476.34,131.68,108.30,
New York,NY,36,2002,8.91,518.79,143.42,117.95,
New York,NY,36,2003,8.15,561.08,155.10,127.56,
New York,NY,36,2004,11.94,628.10,173.63,142.80,
New York,NY,36,2005,13.52,713.03,197.11,162.11,
New York,NY,36,2006,6.53,759.62,209.99,172.70,
New York,NY,36,2007,0.23,761.37,210.47,173.10,
New York,NY,36,2008,-2.57,741.80,205.06,168.65,
New York,NY,36,2009,-5.73,699.26,193.30,158.98,
New York,NY,36,2010,-3.01,678.20,187.48,154.19,
New York,NY,36,2011,-2.38,662.09,183.03,150.53,
New York,NY,36,2012,-2.46,645.82,178.53,146.83,
New York,NY,36,2013,0.76,650.73,179.89,147.95,
New York,NY,36,2014,2.44,666.59,184.27,151.55,
New York,NY,36,2015,2.80,685.27,189.44,155.80,
New York,NY,36,2016,3.26,707.58,195.60,160.87,
New York,NY,36,2017,4.62,740.28,204.64,168.31,
New York,NY,36,2018,5.46,780.70,215.82,177.50,
New York,NY,36,2019,3.78,810.19,223.97,184.20,
New York,NY,36,2020,3.32,837.08,231.40,190.31,
New York,NY,36,2021,9.39,915.70,253.14,208.19,
New York,NY,36,2022,12.77,1032.67,285.47,234.78,
New York,NY,36,2023,8.13,1116.64,308.68,253.87,
New York,NY,36,2024,7.51,1200.53,331.87,272.95,
North Carolina,NC,37,1975,,100.00,41.98,29.70,
North Carolina,NC,37,1976,3.49,103.49,43.45,30.73,
North Carolina,NC,37,1977,8.68,112.47,47.22,33.40,
North Carolina,NC,37,1978,11.35,125.24,52.58,37.19,
North Carolina,NC,37,1979,10.21,138.03,57.95,40.99,
North Carolina,NC,37,1980,8.58,149.86,62.92,44.50,
North Carolina,NC,37,1981,5.95,158.78,66.66,47.15,
North Carolina,NC,37,1982,2.84,163.29,68.55,48.49,
North Carolina,NC,37,1983,3.73,169.38,71.11,50.30,
North Carolina,NC,37,1984,8.35,183.52,77.05,54.50,
North Carolina,NC,37,1985,7.12,196.60,82.54,58.38,
North Carolina,NC,37,1986,4.74,205.92,86.45,61.15,
North Carolina,NC,37,1987,4.82,215.85,90.62,64.10,
North Carolina,NC,37,1988,5.08,226.81,95.22,67.35,
North Carolina,NC,37,1989,3.02,233.65,98.09,69.39,
North Carolina,NC,37,1990,1.95,238.19,100.00,70.74,
North Carolina,NC,37,1991,1.58,241.96,101.58,71.85,
North Carolina,NC,37,1992,1.78,246.26,103.38,73.13,
North Carolina,NC,37,1993,1.79,250.65,105.23,74.44,
North Carolina,NC,37,1994,3.88,260.37,109.31,77.32,
North Carolina,NC,37,1995,5.70,275.21,115.54,81.73,
North Carolina,NC,37,1996,4.01,286.24,120.17,85.00,
North Carolina,NC,37,1997,4.73,299.79,125.86,89.03,
North Carolina,NC,37,1998,3.73,310.96,130.55,92.35,
North Carolina,NC,37,1999,3.44,321.65,135.04,95.52,
North Carolina,NC,37,2000,4.69,336.74,141.37,100.00,
North Carolina,NC,37,2001,4.22,350.94,147.33,104.22,
North Carolina,NC,37,2002,2.31,359.03,150.73,106.62,
North Carolina,NC,37,2003,1.56,364.61,153.07,108.28,
North Carolina,NC,37,2004,3.40,377.00,158.27,111.96,
North Carolina,NC,37,2005,6.56,401.75,168.66,119.31,
North Carolina,NC,37,2006,7.22,430.75,180.84,127.92,
North Carolina,NC,37,2007,4.85,451.64,189.61,134.12,
North Carolina,NC,37,2008,1.11,456.64,191.71,135.61,
North Carolina,NC,37,2009,-2.97,443.08,186.02,131.58,
North Carolina,NC,37,2010,-5.35,419.38,176.07,124.54,
North Carolina,NC,37,2011,-3.77,403.57,169.43,119.85,
North Carolina,NC,37,2012,-2.53,393.37,165.15,116.82,
North Carolina,NC,37,2013,0.81,396.57,166.49,117.77,
North Carolina,NC,37,2014,2.56,406.73,170.76,120.79,
North Carolina,NC,37,2015,3.85,422.38,177.33,125.43,
North Carolina,NC,37,2016,4.62,441.90,185.52,131.23,
North Carolina,NC,37,2017,5.43,465.92,195.60,138.36,
North Carolina,NC,37,2018,6.46,496.01,208.24,147.30,
North Carolina,NC,37,2019,5.42,522.89,219.52,155.28,
North Carolina,NC,37,2020,4.02,543.89,228.34,161.52,
North Carolina,NC,37,2021,12.93,614.21,257.86,182.40,
North Carolina,NC,37,2022,20.87,742.42,311.69,220.48,
North Carolina,NC,37,2023,8.98,809.10,339.68,240.28,
North Carolina,NC,37,2024,5.17,850.94,357.25,252.70,
North Dakota,ND,38,1975,,100.00,56.51,39.88,
North Dakota,ND,38,1976,13.10,113.10,63.91,45.10,
North Dakota,ND,38,1977,10.26,124.70,70.47,49.73,
North Dakota,ND,38,1978,10.00,137.17,77.51,54.70,
North Dakota,ND,38,1979,13.21,155.29,87.76,61.93,
North Dakota,ND,38,1980,2.77,159.59,90.18,63.64,
North Dakota,ND,38,1981,7.27,171.19,96.74,68.27,
North Dakota,ND,38,1982,-16.65,142.68,80.63,56.90,
North Dakota,ND,38,1983,13.04,161.29,91.15,64.32,
North Dakota,ND,38,1984,11.44,179.74,101.58,71.68,
North Dakota,ND,38,1985,-1.42,177.20,100.14,70.67,
North Dakota,ND,38,1986,-0.22,176.80,99.91,70.51,
North Dakota,ND,38,1987,-0.83,175.33,99.08,69.92,
North Dakota,ND,38,1988,-2.21,171.46,96.89,68.38,
North Dakota,ND,38,1989,2.32,175.43,99.14,69.96,
North Dakota,ND,38,1990,0.87,176.96,100.00,70.57,
North Dakota,ND,38,1991,2.72,181.77,102.72,72.49,
North Dakota,ND,38,1992,2.48,186.28,105.27,74.29,
North Dakota,ND,38,1993,4.72,195.08,110.24,77.80,
North Dakota,ND,38,1994,5.03,204.89,115.78,81.71,
North Dakota,ND,38,1995,5.59,216.35,122.26,86.28,
North Dakota,ND,38,1996,3.72,224.40,126.81,89.49,
North Dakota,ND,38,1997,2.79,230.65,130.34,91.98,
North Dakota,ND,38,1998,3.79,239.39,135.28,95.47,
North Dakota,ND,38,1999,1.77,243.62,137.67,97.16,
North Dakota,ND,38,2000,2.93,250.76,141.70,100.00,
North Dakota,ND,38,2001,3.98,260.74,147.34,103.98,
North Dakota,ND,38,2002,3.97,271.09,153.20,108.11,
North Dakota,ND,38,2003,3.54,280.69,158.62,111.94,
North Dakota,ND,38,2004,6.53,299.02,168.98,119.25,
North Dakota,ND,38,2005,8.25,323.70,182.93,129.09,
North Dakota,ND,38,2006,6.54,344.87,194.89,137.53,
North Dakota,ND,38,2007,4.46,360.24,203.57,143.66,
North Dakota,ND,38,2008,2.61,369.65,208.89,147.41,
North Dakota,ND,38,2009,1.04,373.49,211.06,148.94,
North Dakota,ND,38,2010,1.27,378.24,213.75,150.84,
North Dakota,ND,38,2011,3.33,390.85,220.87,155.87,
North Dakota,ND,38,2012,5.33,411.68,232.64,164.17,
North Dakota,ND,38,2013,8.56,446.91,252.55,178.23,
North Dakota,ND,38,2014,7.85,482.01,272.39,192.22,
North Dakota,ND,38,2015,4.45,503.46,284.51,200.78,
North Dakota,ND,38,2016,2.33,515.19,291.14,205.45,
North Dakota,ND,38,2017,1.12,520.97,294.40,207.76,
North Dakota,ND,38,2018,1.42,528.34,298.57,210.70,
North Dakota,ND,38,2019,2.26,540.27,305.31,215.46,
North Dakota,ND,38,2020,1.04,545.87,308.47,217.69,
North Dakota,ND,38,2021,4.94,572.82,323.70,228.44,
North Dakota,ND,38,2022,10.45,632.70,357.55,252.32,
North Dakota,ND,38,2023,5.02,664.44,375.48,264.97,
North Dakota,ND,38,2024,4.39,693.61,391.97,276.61,
Ohio,OH,39,1975,,100.00,45.19,30.61,
Ohio,OH,39,1976,7.37,107.37,48.53,32.87,
Ohio,OH,39,1977,11.04,119.22,53.88,36.49,
Ohio,OH,39,1978,13.95,135.85,61.40,41.58,
Ohio,OH,39,1979,12.12,152.31,68.84,46.62,
Ohio,OH,39,1980,3.92,158.28,71.53,48.45,
Ohio,OH,39,1981,1.64,160.87,72.70,49.24,
Ohio,OH,39,1982,-5.94,151.31,68.38,46.32,
Ohio,OH,39,1983,8.70,164.47,74.33,50.34,
Ohio,OH,39,1984,2.31,168.28,76.05,51.51,
Ohio,OH,39,1985,2.05,171.72,77.61,52.56,
Ohio,OH,39,1986,3.72,178.11,80.49,54.52,
Ohio,OH,39,1987,5.39,187.71,84.83,57.46,
Ohio,OH,39,1988,7.51,201.81,91.21,61.77,
Ohio,OH,39,1989,5.19,212.28,95.94,64.98,
Ohio,OH,39,1990,4.24,221.27,100.00,67.73,
Ohio,OH,39,1991,3.55,229.13,103.55,70.14,
Ohio,OH,39,1992,3.17,236.39,106.84,72.36,
Ohio,OH,39,1993,3.24,244.05,110.29,74.70,
Ohio,OH,39,1994,4.07,253.98,114.78,77.74,
Ohio,OH,39,1995,5.30,267.44,120.87,81.86,
Ohio,OH,39,1996,4.36,279.09,126.13,85.43,
Ohio,OH,39,1997,4.32,291.16,131.59,89.12,
Ohio,OH,39,1998,3.57,301.56,136.29,92.31,
Ohio,OH,39,1999,3.49,312.09,141.05,95.53,
Ohio,OH,39,2000,4.68,326.69,147.65,100.00,
Ohio,OH,39,2001,4.25,340.57,153.92,104.25,
Ohio,OH,39,2002,2.32,348.46,157.48,106.66,
Ohio,OH,39,2003,1.65,354.22,160.08,108.42,
Ohio,OH,39,2004,3.11,365.22,165.06,111.79,
Ohio,OH,39,2005,3.53,378.11,170.89,115.74,
Ohio,OH,39,2006,0.69,380.74,172.07,116.54,
Ohio,OH,39,2007,-1.20,376.17,170.01,115.15,
Ohio,OH,39,2008,-2.40,367.16,165.93,112.39,
Ohio,OH,39,2009,-3.16,355.55,160.69,108.83,
Ohio,OH,39,2010,-3.44,343.31,155.16,105.09,
Ohio,OH,39,2011,-3.69,330.66,149.44,101.21,
Ohio,OH,39,2012,-1.64,325.24,146.99,99.55,
Ohio,OH,39,2013,0.23,325.99,147.33,99.78,
Ohio,OH,39,2014,3.30,336.75,152.19,103.08,
Ohio,OH,39,2015,3.44,348.33,157.42,106.62,
Ohio,OH,39,2016,3.89,361.87,163.55,110.77,
Ohio,OH,39,2017,4.91,379.65,171.58,116.21,
Ohio,OH,39,2018,5.81,401.70,181.54,122.96,
Ohio,OH,39,2019,4.86,421.23,190.37,128.94,
Ohio,OH,39,2020,4.33,439.46,198.61,134.52,
Ohio,OH,39,2021,11.20,488.68,220.85,149.58,
Ohio,OH,39,2022,13.82,556.22,251.38,170.26,
Ohio,OH,39,2023,8.14,601.51,271.85,184.12,
Ohio,OH,39,2024,6.88,642.92,290.56,196.80,
Oklahoma,OK,40,1975,,100.00,52.82,36.98,
Oklahoma,OK,40,1976,12.05,112.05,59.19,41.44,
Oklahoma,OK,40,1977,9.46,122.65,64.79,45.36,
Oklahoma,OK,40,1978,21.85,149.45,78.94,55.27,
Oklahoma,OK,40,1979,15.48,172.58,91.16,63.82,
Oklahoma,OK,40,1980,10.61,190.90,100.84,70.59,
Oklahoma,OK,40,1981,9.49,209.01,110.40,77.29,
Oklahoma,OK,40,1982,9.55,228.97,120.95,84.67,
Oklahoma,OK,40,1983,3.49,236.95,125.16,87.63,
Oklahoma,OK,40,1984,-3.20,229.38,121.16,84.82,
Oklahoma,OK,40,1985,-3.81,220.64,116.55,81.59,
Oklahoma,OK,40,1986,-2.61,214.87,113.50,79.46,
Oklahoma,OK,40,1987,-7.08,199.66,105.47,73.84,
Oklahoma,OK,40,1988,-8.70,182.30,96.29,67.41,
Oklahoma,OK,40,1989,2.59,187.03,98.79,69.16,
Oklahoma,OK,40,1990,1.22,189.31,100.00,70.01,
Oklahoma,OK,40,1991,3.23,195.43,103.23,72.27,
Oklahoma,OK,40,1992,2.81,200.92,106.13,74.30,
Oklahoma,OK,40,1993,3.62,208.19,109.97,76.99,
Oklahoma,OK,40,1994,3.74,215.98,114.09,79.87,
Oklahoma,OK,40,1995,3.71,223.99,118.32,82.83,
Oklahoma,OK,40,1996,3.63,232.13,122.62,85.84,
Oklahoma,OK,40,1997,3.09,239.30,126.41,88.49,
Oklahoma,OK,40,1998,4.12,249.16,131.62,92.14,
Oklahoma,OK,40,1999,3.67,258.31,136.45,95.52,
Oklahoma,OK,40,2000,4.69,270.41,142.84,100.00,
Oklahoma,OK,40,2001,4.96,283.83,149.93,104.96,
Oklahoma,OK,40,2002,3.33,293.29,154.92,108.46,
Oklahoma,OK,40,2003,2.83,301.60,159.31,111.53,
Oklahoma,OK,40,2004,3.98,313.60,165.65,115.97,
Oklahoma,OK,40,2005,5.02,329.33,173.96,121.79,
Oklahoma,OK,40,2006,4.63,344.57,182.01,127.42,
Oklahoma,OK,40,2007,3.99,358.31,189.27,132.51,
Oklahoma,OK,40,2008,1.72,364.47,192.53,134.78,
Oklahoma,OK,40,2009,-0.19,363.76,192.15,134.52,
Oklahoma,OK,40,2010,-0.65,361.39,190.90,133.64,
Oklahoma,OK,40,2011,-1.62,355.54,187.81,131.48,
Oklahoma,OK,40,2012,0.90,358.74,189.50,132.66,
Oklahoma,OK,40,2013,1.70,364.85,192.72,134.92,
Oklahoma,OK,40,2014,3.14,376.30,198.77,139.16,
Oklahoma,OK,40,2015,3.55,389.64,205.82,144.09,
Oklahoma,OK,40,2016,2.45,399.20,210.87,147.62,
Oklahoma,OK,40,2017,3.38,412.68,217.99,152.61,
Oklahoma,OK,40,2018,2.93,424.77,224.38,157.08,
Oklahoma,OK,40,2019,3.77,440.78,232.83,163.00,
Oklahoma,OK,40,2020,3.84,457.69,241.77,169.25,
Oklahoma,OK,40,2021,10.09,503.87,266.16,186.33,
Oklahoma,OK,40,2022,15.27,580.82,306.80,214.79,
Oklahoma,OK,40,2023,7.43,623.94,329.59,230.74,
Oklahoma,OK,40,2024,4.38,651.25,344.01,240.83,
Oregon,OR,41,1975,,100.00,40.31,21.56,
Oregon,OR,41,1976,13.64,113.64,45.81,24.50,
Oregon,OR,41,1977,20.46,136.90,55.18,29.52,
Oregon,OR,41,1978,19.94,164.20,66.19,35.40,
Oregon,OR,41,1979,13.97,187.15,75.43,40.35,
Oregon,OR,41,1980,5.35,197.15,79.47,42.51,
Oregon,OR,41,1981,-6.79,183.76,74.07,39.62,
