"","Observation Date","Closing Price (USD)","Unemployment Rate (%)","CPI","Median Household Income (USD)","Median Housing Price (USD)"
"1",1927-12-30,17.6599998474121,NA,NA,NA,NA
"2",1928-01-03,17.7600002288818,NA,NA,NA,NA
"3",1928-01-04,17.7199993133545,NA,NA,NA,NA
"4",1928-01-05,17.5499992370605,NA,NA,NA,NA
"5",1928-01-06,17.6599998474121,NA,NA,NA,NA
"6",1928-01-09,17.5,NA,NA,NA,NA
"7",1928-01-10,17.3700008392334,NA,NA,NA,NA
"8",1928-01-11,17.3500003814697,NA,NA,NA,NA
"9",1928-01-12,17.4699993133545,NA,NA,NA,NA
"10",1928-01-13,17.5799999237061,NA,NA,NA,NA
"11",1928-01-16,17.2900009155273,NA,NA,NA,NA
"12",1928-01-17,17.2999992370605,NA,NA,NA,NA
"13",1928-01-18,17.2600002288818,NA,NA,NA,NA
"14",1928-01-19,17.3799991607666,NA,NA,NA,NA
"15",1928-01-20,17.4799995422363,NA,NA,NA,NA
"16",1928-01-23,17.6399993896484,NA,NA,NA,NA
"17",1928-01-24,17.7099990844727,NA,NA,NA,NA
"18",1928-01-25,17.5200004577637,NA,NA,NA,NA
"19",1928-01-26,17.6299991607666,NA,NA,NA,NA
"20",1928-01-27,17.6900005340576,NA,NA,NA,NA
"21",1928-01-30,17.4899997711182,NA,NA,NA,NA
"22",1928-01-31,17.5699996948242,NA,NA,NA,NA
"23",1928-02-01,17.5300006866455,NA,NA,NA,NA
"24",1928-02-02,17.6299991607666,NA,NA,NA,NA
"25",1928-02-03,17.3999996185303,NA,NA,NA,NA
"26",1928-02-06,17.4500007629395,NA,NA,NA,NA
"27",1928-02-07,17.4400005340576,NA,NA,NA,NA
"28",1928-02-08,17.4899997711182,NA,NA,NA,NA
"29",1928-02-09,17.5499992370605,NA,NA,NA,NA
"30",1928-02-10,17.5400009155273,NA,NA,NA,NA
"31",1928-02-14,17.4400005340576,NA,NA,NA,NA
"32",1928-02-15,17.3999996185303,NA,NA,NA,NA
"33",1928-02-16,17.3500003814697,NA,NA,NA,NA
"34",1928-02-17,17.0400009155273,NA,NA,NA,NA
"35",1928-02-20,16.9500007629395,NA,NA,NA,NA
"36",1928-02-21,17.1100006103516,NA,NA,NA,NA
"37",1928-02-23,17.1299991607666,NA,NA,NA,NA
"38",1928-02-24,17.1800003051758,NA,NA,NA,NA
"39",1928-02-27,17.1100006103516,NA,NA,NA,NA
"40",1928-02-28,17.1599998474121,NA,NA,NA,NA
"41",1928-02-29,17.2600002288818,NA,NA,NA,NA
"42",1928-03-01,17.2999992370605,NA,NA,NA,NA
"43",1928-03-02,17.2999992370605,NA,NA,NA,NA
"44",1928-03-05,17.5699996948242,NA,NA,NA,NA
"45",1928-03-06,17.6700000762939,NA,NA,NA,NA
"46",1928-03-07,17.5799999237061,NA,NA,NA,NA
"47",1928-03-08,17.6399993896484,NA,NA,NA,NA
"48",1928-03-09,17.9300003051758,NA,NA,NA,NA
"49",1928-03-12,18,NA,NA,NA,NA
"50",1928-03-13,17.9200000762939,NA,NA,NA,NA
"51",1928-03-14,17.9300003051758,NA,NA,NA,NA
"52",1928-03-15,18.0699996948242,NA,NA,NA,NA
"53",1928-03-16,18.2600002288818,NA,NA,NA,NA
"54",1928-03-19,18.3600006103516,NA,NA,NA,NA
"55",1928-03-20,18.4599990844727,NA,NA,NA,NA
"56",1928-03-21,18.6499996185303,NA,NA,NA,NA
