Series,"12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025","11-2025"
United States,52248,46983,41446,44021,40874,41271,42820,45136,49875,46123,46864,44239,48114,45856,41783,41987,38471,38325,38898,42281,44234,42947,44625,43014,48271,41951,38151,38830,34702,36538,36447,40333,41980,41840,43983,43168,45482,46066,38828,50587,38113,39645,48722,43804,44465,53848,47834,46390,71706,55208,46081,49297,45440,48257,48724,53528,55184,54014,56006,54134,62001,57402,49635,54162,48894,50999,53065,55488,58501,57638,60273,57420,73405,58455,52043,54959,50446,51167,53572,54461,55510,55779,56422,53854,65904,55720,45069,54735,46609,47462,53595,54708,55367,55705,56109,53279,62337,51678,46066,51535,47799,47984,47595,50654,52537,49367,52172,48499,56044,47661,40511,44848,41857,43428,44284,46649,49300,46577,51209,47837,52383,44547,38948,39323,36798,38365,42455,40887,41378,39607,41832,40511,59497,38854,32105,33727,32087,34878,37905,36190,37077,35857,36920,34101,88261,36497,29096,30675,29276,30410,30573,32534,33385,32373,34134,31832,78211,31178,25511,26663,26626,28118,28043,30430,30591,28720,30652,29936,71869,30538,25429,27522,26725,28826,35780,30965,31709,30328,32251,30787,63780,30583,24134,28182,27405,29806,38096,32104,31929,31671,35533,33737,67231,32207,24641,27791,27151,29299,37636,29807,30403,37742,30736,29200,72507,28389,21591,32802,26513,28062,41895,29354,29024,35267,29936,28200,69999,27838,22474,31197,25086,26781,40685,28885,28714,34096,29260,28079,67341,27125,21617,31632,26197,27893,41902,30700,30746,36939,31975,30620,68243,32337,24413,33967,28647,31552,46981,33651,33136,38049,33173,32056,73847,30713,23603,33488,29084,32207,47832,33401,32157,37329,33153,32248,75666,30884,24369,33741,28978,29847,45460,32282,33631,38307,34611,32093,73782,30039,22626,31114,27524,29601,42348,31133,30745,34162,30692,29361,64790,26785,19328,28976,25128,26822,38320,28101,28111,32142,27891,26650,56724,24677,17911,26277,23575,26121,39229,27532,27276,31627,27229,27134,53459,25498,19163,27575,23722,25602,34564,26942,27162,31923,27346,26556,56602,28942,21312,23141,24576,26889,31810,28279,28902,27549,28150,26756,45232,25867,19185,21234,22313,24786,28933,26153,25948,26013,27115,25267,45954,25957,18174,21956,22558,24865,29134,26937,27306,26292,27484,25920,44934,27050,21115,22757,23585,25587,28534,27350,27822,26420,27704,26561,44192,27634,21842,21889,22863,24515,24219,25655,25613,24506,25793,24640,43522,24197,19231,19478,19765,21545,21641,23082,23149,21822,22627,21881,42027,20848,17037,18095,18895,20781,20615,21669,22389,21435,21536,20007,39536,21469,18383,17884,15144,16542,17846,18335,19154,18180,19776,19090,34187,11466,9248,9306,9223,10938,10409,12174,12286,12744,13860,13045,13819,18584,16606,17255,17300,18840,18919,20016,19077,18458,18799,17124,21202,17728,15224,16566,16940,18849,18598,20088,19585,19039,19548,18083,20416,17505,15471,15920,16119,17391,17452,18266,17757,17262,17147,16119,16852,13068,11029,11810,12151,13381,12553,12856,11861,9151,6041,704
United States Clearances,10271,9584,10312,11371,11145,10640,11188,11263,12184,11455,11965,10075,11070,11158,10621,11493,11111,10153,10131,10439,10826,10508,10685,9818,11229,9803,9580,10633,9709,9954,9637,9652,10447,9859,10496,10220,10439,11057,10140,11229,10224,10376,10054,10582,11501,10745,11394,8943,8835,14039,11789,13788,12568,12175,12846,12704,13280,12613,14221,12137,12645,13639,11502,13211,11893,12463,11630,12657,12871,12932,13523,11694,14696,13918,13273,15203,13084,12565,13062,12446,12266,13024,13055,11615,14465,13041,10954,13833,11409,11620,12339,12623,12137,12346,12207,11969,12462,11937,11638,12585,11460,11347,10990,11891,11817,11506,11967,13012,13487,12245,9956,11464,10133,10679,10357,9478,10252,9627,10309,9396,9972,10510,9768,10064,9080,9393,9362,9476,9895,9211,10168,9072,10521,9786,8589,8968,9083,9229,8819,9164,9051,9194,9149,7734,18096,9118,7941,8888,8213,7989,8068,8222,8354,8235,8339,7364,19170,7714,7037,7504,7347,7166,7478,8040,7847,7401,7086,7209,18039,7656,6896,7186,6607,7228,6722,7152,7402,7203,7115,6952,17337,7279,6772,7202,6915,7138,7709,7397,7776,7062,7797,7321,16229,7874,6552,7056,7868,7906,7916,6575,7034,6864,7301,6121,16278,6536,5987,6881,6314,7028,7658,6740,6485,6866,7034,6101,16592,6378,6018,6425,6451,6521,8222,6842,6674,6585,6590,6351,15376,6468,5763,6663,6363,6850,8222,6965,7216,6908,6888,6737,15282,7316,6277,6787,6728,7540,8897,7536,7709,7552,7538,7403,16847,7398,6242,7178,7004,7705,9317,7762,8001,7450,7721,7143,18127,7882,6690,7192,7562,7695,9480,7779,7736,7820,8383,7253,18959,7836,6695,7206,7208,7543,9485,7869,7629,7403,7457,6825,16927,7204,5889,6817,6561,6902,8440,6858,7129,6752,6792,6396,14715,6998,5671,6259,6438,6686,9550,6817,7349,6958,6858,6359,12872,7054,5907,6372,6416,6930,7809,6839,6943,6485,6933,6299,13457,7933,6480,6956,7202,7710,8612,7586,7805,7296,7853,6815,13343,7673,6211,6702,6713,7106,7804,7065,7029,7072,7285,6212,13090,7340,6116,6765,6540,6652,7805,7132,7222,7130,7251,6888,13186,7452,6775,7113,6767,7148,8071,7002,7421,7319,7343,6639,12542,7382,6495,6777,6596,6992,6998,6664,7116,6593,6772,6415,13252,7096,5923,6052,5984,6344,5989,6333,6575,6028,6293,5782,12059,6225,5296,5552,5579,5995,5725,5800,6175,5963,6055,5423,11588,6348,5631,5732,5009,5097,4444,5133,5200,4988,5101,4454,10840,2738,2618,2812,2615,2760,2761,2927,3024,3156,3081,3060,3042,4256,3948,4626,4435,4561,4524,4667,4797,4465,4406,3981,4012,5099,4539,5054,4788,5302,5253,5283,5602,5336,5450,5059,5101,5367,5111,5305,5296,5408,5064,5495,5500,5076,5463,4814,4594,4520,4066,4374,4310,4598,4329,4519,4262,2967,1918,193
