Series,"12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025","11-2025"
Pennsylvania,214,185,221,211,242,224,297,278,272,254,266,216,253,206,201,223,269,226,284,384,279,265,202,189,242,171,233,194,240,273,258,298,275,270,235,187,233,219,180,258,193,224,226,297,296,306,233,202,208,220,195,243,209,284,247,298,312,289,271,275,283,262,211,293,211,257,327,298,352,309,271,305,191,258,254,250,286,284,248,358,321,210,300,270,214,230,184,220,225,269,280,337,281,284,224,257,233,233,215,290,240,241,253,295,294,228,245,216,233,225,209,215,256,236,239,285,284,217,240,195,167,204,229,224,233,221,285,237,269,248,241,186,207,239,209,231,258,255,372,293,254,240,214,160,187,227,218,270,263,266,258,283,292,261,224,247,209,237,221,258,217,219,279,280,264,273,277,269,279,221,222,251,241,304,284,257,261,245,238,239,268,214,212,261,250,258,318,304,319,261,263,263,200,245,231,290,325,294,298,318,375,307,321,267,213,263,237,258,279,282,270,342,341,290,257,268,214,275,304,272,272,274,282,294,300,294,293,251,200,268,293,289,272,282,274,332,347,288,284,251,220,465,237,245,266,325,279,327,326,259,292,228,226,263,236,250,258,338,377,298,289,284,298,238,248,260,273,302,278,266,299,338,363,277,259,263,270,274,237,372,246,520,288,277,314,304,263,258,255,278,203,295,275,272,334,321,340,360,257,302,218,257,238,302,269,296,257,309,285,299,281,259,274,269,251,278,300,289,258,351,313,277,281,274,226,287,277,291,324,354,330,352,329,292,363,315,268,306,250,286,334,327,343,326,347,344,333,286,354,300,312,308,373,321,377,415,407,379,301,322,322,309,338,338,322,346,339,360,386,315,350,731,311,344,333,324,339,375,394,375,381,357,392,288,314,352,329,362,330,385,387,421,395,424,410,361,336,365,328,383,387,358,386,147,373,403,393,306,284,274,287,226,156,170,264,244,229,207,263,185,182,245,177,194,256,221,255,268,265,247,224,267,245,278,267,336,319,341,320,319,324,289,318,270,232,307,236,300,340,288,276,304,299,329,344,322,326,307,297,343,306,343,349,335,319,349,383,286,236,280,233,278,316,291,229,263,260,226,166,7
Pennsylvania Clearances,136,135,156,138,171,133,211,175,170,167,166,149,192,108,155,156,169,151,204,230,193,192,153,113,142,104,162,142,180,164,174,182,186,168,168,74,175,132,136,175,129,139,162,180,206,194,170,126,143,168,117,167,134,186,151,185,227,146,167,176,178,180,149,195,142,154,188,217,227,197,193,198,128,165,167,147,198,168,155,227,203,137,206,164,101,159,117,153,116,152,188,183,173,201,112,153,125,153,149,171,158,154,147,166,191,114,153,142,136,148,122,131,146,119,144,132,199,128,159,102,81,112,147,143,130,136,162,132,152,138,149,90,122,161,110,118,145,125,241,175,179,136,121,111,135,137,110,134,142,156,142,156,143,145,132,149,162,111,135,133,138,106,105,188,154,146,127,164,246,115,138,144,138,163,127,140,152,145,145,140,231,150,138,160,144,141,172,159,198,154,181,140,117,167,142,172,180,144,183,180,205,174,194,170,113,176,151,155,182,146,155,157,174,175,148,135,136,165,185,165,151,141,156,150,172,171,178,131,153,164,176,162,150,159,153,174,194,163,171,201,143,354,144,145,144,176,161,171,175,169,163,132,128,151,138,130,128,158,265,132,130,149,163,123,235,145,166,194,144,157,158,174,181,180,143,162,128,168,145,171,161,162,174,145,164,161,177,144,145,157,130,402,138,167,151,128,159,209,125,146,108,169,132,188,151,175,152,140,173,164,162,144,132,183,143,161,140,162,122,163,145,139,157,152,140,164,178,195,171,172,178,195,180,184,223,180,154,191,168,186,204,175,189,145,186,212,186,186,164,218,186,155,226,156,205,231,211,221,213,182,205,181,182,168,188,152,187,182,186,174,173,543,131,181,158,163,141,194,184,167,222,190,194,219,172,196,175,197,166,199,163,194,200,202,189,157,165,224,186,172,197,163,187,69,189,172,172,155,150,133,165,100,77,80,122,108,93,111,114,110,71,66,57,55,52,66,80,78,63,89,58,81,105,73,93,110,154,110,114,108,135,126,101,86,118,115,114,139,133,148,117,112,127,135,114,108,108,142,121,125,161,123,102,144,158,134,168,144,111,137,110,123,141,166,120,110,127,110,119,12
