Series,"12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025","11-2025"
California,8276,7829,7080,7734,7203,6781,6888,7517,9838,7801,8179,7626,8031,7726,6944,7364,6616,6302,6429,6724,7159,6857,7201,6737,7267,7377,7016,7479,6137,6737,6220,7385,7160,7160,7802,7498,8091,8192,7247,7845,7218,7728,7369,8131,8281,7648,8841,8713,8827,9287,8376,8921,8725,8879,8702,9495,9970,9870,9870,9417,9951,10738,9271,9606,9196,9393,9397,10539,10788,10627,11675,10939,11610,11619,10704,11110,10634,10326,10422,11454,11582,10710,11097,10200,11009,11200,9737,10560,9930,10003,10255,11268,11224,10637,10886,9961,10701,10183,9437,10061,8818,9034,8826,9185,9804,8952,9604,8819,9132,8661,7794,8375,7701,7641,7618,8283,9136,8887,9395,8598,8572,9169,8113,8246,7271,7465,7268,7764,7759,7510,7705,7753,8109,7661,6740,6932,6546,6768,6447,6813,6873,6702,6832,6383,6716,6614,5630,6030,5540,5576,5417,5706,5882,5782,5694,5236,5645,5784,4900,4912,4736,4827,4771,5027,5057,4684,5085,4867,5373,5211,4578,5076,4735,5018,4776,5168,5424,5039,5135,4968,5117,5189,4530,4997,4682,5322,5297,5683,5587,5371,6029,5809,6117,5962,5162,5218,5058,5224,5179,5449,5421,5411,5620,5559,5670,5531,4688,5411,5285,5444,5028,5320,5327,5313,5323,5122,5805,5339,4501,5227,5232,5462,5080,5218,5148,4996,5135,5050,5179,5420,4456,5104,4906,5140,5067,5631,5276,5172,5707,5686,5859,6453,5120,5632,5716,6147,5901,6444,6240,5826,5796,5694,6173,6223,5225,5795,5833,6242,5958,5998,5865,5535,5974,6006,6047,6044,5161,5660,5655,5521,5435,6031,6281,5798,6128,5687,5987,6054,4780,5271,5070,5414,5171,5521,5427,5317,5371,5197,5413,5187,4371,4878,4747,5016,4721,4850,5006,4642,4848,4791,5043,4815,3656,4038,4281,4658,4436,4951,4925,4619,4594,4504,4791,4718,3983,4411,4445,4944,4691,4751,5174,4876,4902,4664,4940,4860,4141,4352,4404,4724,4452,4812,4886,4329,4362,4090,4220,4289,3511,3793,3633,3988,4114,4198,4130,4123,4319,4072,4503,4618,3727,4202,4113,4438,4510,4495,4803,4507,4833,4194,4365,4715,4018,4158,4277,4586,4604,4932,4723,4449,4803,4622,4887,4918,4401,4458,4514,4903,4480,4945,5044,4632,5035,4597,4684,4871,4068,4291,4299,4519,4467,4891,4802,4327,4739,4419,4628,4339,3819,4332,4236,4444,4232,4542,4621,4331,4628,4116,4413,4437,4083,3957,3380,3532,3714,3610,3486,3231,3613,3691,3959,419,404,493,420,513,515,553,570,644,703,681,816,4207,3795,4150,3973,3999,4035,4197,4184,4090,4020,3605,3665,3904,3349,3694,3837,4233,4167,4476,4462,4569,4415,4086,4268,4171,3735,3786,3688,3929,3818,4052,3859,3760,3743,3574,3601,2441,2123,2226,2224,2455,2145,2303,2235,2101,1603,358
California Clearances,2041,1992,1673,1823,1901,1752,1747,1808,2560,1896,2072,1813,1792,2077,2078,1926,1978,2015,1900,1796,1839,1694,1564,1718,2415,1853,1758,2289,1806,2061,1932,1910,1996,1817,2005,1851,1923,2174,1813,1906,2075,2149,1973,1804,2089,1782,2138,2129,1834,2510,2203,2650,2432,2495,2527,2428,2511,2342,2812,2345,2331,2870,2458,2595,2478,2558,2193,2672,2455,2449,2761,2383,2670,2925,2679,2886,2584,2409,2574,2635,2496,2550,2476,2325,2279,2607,2210,2730,2352,2672,2409,2617,2260,2448,2371,2251,2396,2368,2233,2610,2093,2152,2124,1988,2227,2008,2110,2095,2084,2231,1922,2292,1995,2060,1991,1962,2294,2113,2243,2159,1917,2494,2194,2212,1994,2059,1799,1841,1908,1766,1832,1578,1600,1859,1671,1967,1879,1666,1677,1829,1703,1683,1760,1344,1504,1863,1577,1839,1581,1564,1581,1546,1436,1633,1641,1357,1412,1516,1305,1524,1553,1350,1404,1721,1367,1312,1231,1146,1109,1404,1315,1411,1239,1319,1050,1310,1335,1225,1261,1174,1183,1298,1167,1234,1243,1281,1232,1284,1342,1141,1367,1166,1176,1452,1069,1221,1405,1394,1418,1300,1412,1225,1398,1162,1163,1258,1724,1826,1307,1416,1363,1343,1343,1506,1404,1165,1443,1180,1340,1379,1515,1368,1321,1330,1264,1290,1370,1169,1260,1353,1294,1367,1259,1416,1336,1388,1373,1344,1366,1266,1332,1474,1284,1485,1429,1501,1390,1461,1453,1532,1500,1269,1375,1593,1426,1620,1574,1666,1617,1591,1745,1347,1425,1489,1429,1569,1390,1458,1594,1716,1511,1580,1513,1690,1717,1413,1456,1603,1503,1512,1376,1526,1580,1539,1531,1390,1344,1216,1336,1297,1205,1440,1266,1282,1335,1316,1346,1212,1205,1183,1254,1258,1093,1216,1247,1234,1250,1267,1379,1301,1227,1151,1257,1239,1122,1287,1255,1387,1391,1344,1305,1261,1326,1217,1256,1341,1149,1228,1271,1443,1246,1380,1391,1316,1307,1214,1133,1420,1193,1304,1193,1220,1156,1326,1303,1240,1298,1100,1203,1386,1292,1459,1241,1345,1429,1355,1438,1380,1379,1261,1320,1359,1283,1395,1376,1393,1429,1424,1522,1309,1362,1293,1347,1503,1340,1393,1419,1538,1486,1397,1595,1463,1485,1319,1388,1496,1188,1417,1347,1468,1346,1501,1522,1368,1464,1273,1371,1435,1312,1333,1374,1464,1372,1439,1496,1315,1364,1213,1285,1396,1378,1461,1316,1286,1082,1327,1198,1196,1106,976,1098,72,75,116,114,96,122,135,142,169,178,174,180,1040,1019,1235,1107,1154,1092,1163,1322,1132,1177,947,1033,1250,1004,1051,1046,1206,1187,1192,1249,1240,1253,1098,1198,1214,1179,1248,1243,1144,1112,1225,1209,1096,1132,1029,1054,751,733,745,711,823,670,805,800,688,536,93
