Series,"12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025","11-2025"
California,8568,10202,9191,11255,11428,12143,13133,12452,14898,11530,11947,11354,11148,11573,11306,12517,12824,13527,13587,13988,14446,13530,13884,12136,12204,12419,12073,13238,12773,14083,13847,15561,14951,13489,13875,12004,12224,13303,11948,13663,14584,15087,14505,16235,14897,14713,15397,14002,13784,13865,12417,14734,15217,16131,16358,17212,16232,16366,15841,13572,13903,13858,12869,14052,15190,16343,16398,17508,17944,17866,16561,15041,14223,14857,14554,16128,17163,17758,17052,18182,18209,17211,16991,15587,14278,15230,13612,16835,16993,18012,18000,17874,17428,15998,16174,14198,13547,14670,13579,15514,15070,15920,16823,17490,18556,17699,16909,14069,14750,13893,13953,14647,14675,14657,15214,16394,17559,17248,16686,14265,13124,14082,12853,13934,13846,14539,14376,15195,15003,14306,13932,12593,12742,12334,11672,14075,13686,15092,13782,14757,15024,14714,13919,12505,11675,11911,10633,12730,12224,13211,13273,13892,14128,12923,12275,10932,10923,11536,9953,11332,11004,11635,11466,12435,12344,11393,12509,10434,10393,10556,9618,11451,11665,12436,12256,12834,12439,12136,11630,10383,10948,10326,9408,11110,10718,12394,11999,12632,12101,12160,12233,10613,10372,10482,9609,10964,10569,11543,11527,12151,11340,11615,10956,10294,9600,10479,8712,10786,10360,11588,11201,11730,11528,11116,11054,9837,10283,9980,9091,11127,10862,11479,10696,11104,10969,10440,9824,9017,9280,9172,7990,9197,9379,10389,9947,11214,10121,9573,9969,8807,8563,9180,8383,8912,9109,10170,9821,10814,9744,9331,9466,8222,8468,8366,7762,9330,9161,9809,9811,10188,9711,9428,9430,8433,8111,7779,7733,9156,8675,9291,9190,9706,9261,9201,8777,8215,7911,8310,7371,8654,8427,9301,8739,9017,8970,8683,8028,7288,7159,7812,6903,7852,7873,8823,8516,8644,8757,8153,8052,7179,7265,7462,6413,7675,7662,8130,7887,8424,8220,7816,7593,6762,7105,7380,6967,7572,7939,8659,8268,8627,8626,8664,7674,7123,7168,7043,6269,7550,7479,8413,7974,8248,8055,7773,7079,6411,6716,7117,6472,7749,7557,8269,8106,8378,8206,7774,7625,7181,7356,7622,7224,8513,8006,8285,8528,9137,9194,8807,8687,7516,7712,8005,7898,8417,8805,9438,9385,9679,9290,8943,8701,7969,7807,8211,7201,8878,8786,9253,9578,9882,9455,8880,9060,8173,8051,8275,7403,8500,8700,9530,9260,9887,9562,8947,8978,7897,8443,7915,7112,8542,8670,9312,9366,10000,9659,9328,8927,7991,8024,8167,7860,8271,8557,9900,10204,10281,10886,10455,10832,9131,9028,1366,1381,1786,1981,2464,2264,2527,2360,2380,2685,2522,2526,9816,9414,10904,10854,11204,11106,11660,11678,11540,11333,9389,9782,12606,9048,10151,10825,11370,10905,11993,11874,11508,14316,10098,10486,9988,9460,10469,10379,10983,11352,11505,11282,11185,10725,9348,9520,6800,6142,7214,7351,8028,7674,8091,8125,7049,5720,1154
California Clearances,4935,5954,5528,6473,6776,7024,7487,7420,9217,6642,6989,6647,6130,7129,7223,6982,7306,8887,8829,8269,8116,7813,7132,8008,8688,7665,6724,8628,7824,8219,8512,8458,9086,7626,7858,6959,6640,7359,6826,7475,7816,8187,8008,8131,8913,8358,9156,8013,7452,8983,7633,9012,8900,9734,9552,10148,10193,8968,9903,8840,7934,9544,8343,8621,8967,10028,9460,11050,10309,10192,10829,8699,8453,9889,9121,9551,9834,9750,9951,11110,10111,10396,10437,8612,8773,9654,8634,10107,9651,11098,10185,10147,9923,9623,9257,8122,8207,9276,8270,9496,8878,9090,9680,10176,11131,10498,10165,8691,8193,9332,8348,9481,8934,8725,9378,9589,10120,10031,10038,8851,7483,9617,8083,8491,8365,8989,8002,9231,8530,8247,8485,7081,7273,8251,6985,8797,8496,9074,8984,9587,9316,9098,9341,7111,6745,8105,7137,8844,7951,7857,7954,7972,7772,8334,8025,6865,6914,7498,6256,7335,7272,6974,7071,7482,7442,7092,6955,5471,5785,6497,6022,6629,5984,6793,6440,7210,7127,7082,6813,6215,6271,6857,6147,6511,6419,6790,6678,6978,6569,6001,7230,5950,5516,6743,4403,5961,6840,6716,7028,6442,6822,6224,6538,5225,4813,5791,7076,7741,5766,6039,6040,5922,6219,6929,6373,4990,5934,5556,5786,6179,6507,6573,6137,6128,5989,5803,5828,4940,5150,5242,4620,5093,5061,5124,5338,5575,5811,4874,4987,4578,4697,4984,4397,4688,4423,4997,4847,4971,4766,4580,4692,4063,4139,4408,4154,4795,4702,4833,4809,5100,5315,4641,4702,4539,4155,4417,4013,4301,4626,4998,4631,5116,4706,5053,4743,4214,4221,4534,4061,4667,4319,4473,4800,4901,4840,4447,4306,3816,3785,3988,3723,4294,4161,4291,4382,4528,4581,4319,4169,3793,4198,4044,3550,4281,3970,4011,4172,4271,4374,4288,3998,3615,3907,3971,3650,4040,4279,4575,4301,4488,4653,4701,4236,3757,3688,3920,3493,4116,4083,4459,4499,4545,4467,4506,4206,3676,3662,4261,3679,4218,4268,4656,4542,4923,4532,4401,4251,3805,4029,4066,4087,4538,4523,4384,4783,4893,4794,4695,4662,3975,4295,4432,4350,4444,4601,4862,4862,4726,5033,4646,4367,4334,4147,4293,3829,4718,4623,5146,5118,4946,5343,4913,4822,4144,4345,4455,4040,4300,4755,5169,4777,5172,5141,4717,5117,4305,4566,4393,3978,4514,4781,4934,4962,5267,5287,4914,4798,4224,4305,4423,4361,4743,4906,5124,4880,5256,5368,5137,5108,4120,4456,360,383,576,618,773,724,862,796,939,920,888,967,4437,4355,5060,4666,5223,5263,5457,5841,5530,5157,4663,4672,4886,4328,4815,4852,5130,5040,5624,5641,5334,5427,4913,4951,5169,4994,5177,5304,5186,5269,5588,5290,5434,5251,4723,4678,3410,2990,3626,3684,3991,3719,4219,4046,3659,3028,569
