year,state,state_abv,total_ballots_counted,vap,vep,vap_turnout_rate,vep_turnout_rate,election_type,mean_vep_turnout,normalized_vep_turnout
2008,California,CA,13743177,27411094,22270461,0.5014,0.6171,presidential,0.59315,0.023950000000000027
2008,Florida,FL,8453743,14558436,12683359,0.5807,0.6664999999999999,presidential,0.5978583333333334,0.06864166666666649
2008,Michigan,MI,5039080,7528460,7231283,0.6693000000000001,0.6968,presidential,0.6470333333333333,0.049766666666666626
2008,New York,NY,7721718,14876971,12945767,0.519,0.5965,presidential,0.569025,0.027475000000000027
2008,Ohio,OH,5773777,8757453,8513103,0.6593000000000001,0.6781999999999999,presidential,0.6245499999999999,0.053649999999999975
2008,Utah,UT,971185,1840087,1701049,0.5278,0.5709000000000001,presidential,0.6101416666666667,-0.03924166666666662
2006,California,CA,8899059,26739781,21398706,0.3328,0.41590000000000005,midterm,0.43526363636363635,-0.019363636363636305
2006,Florida,FL,4884544,14211669,12300449,0.34369999999999995,0.3971,midterm,0.4280181818181818,-0.03091818181818179
2006,Michigan,MI,3852008,7532918,7210156,0.5114,0.5342,midterm,0.47393636363636366,0.06026363636363635
2006,New York,NY,4703830,14665626,12730240,0.3207,0.36949999999999994,midterm,0.38945454545454544,-0.019954545454545503
2006,Ohio,OH,4184072,8687609,8447316,0.48160000000000003,0.4953,midterm,0.4499818181818182,0.04531818181818181
2006,Utah,UT,582561,1752158,1621325,0.3325,0.3593,midterm,0.41901818181818185,-0.05971818181818184
2004,California,CA,12589367,26246548,21035883,0.4797,0.5984999999999999,presidential,0.59315,0.005349999999999966
2004,Florida,FL,7640319,13643828,11885513,0.56,0.6428,presidential,0.5978583333333334,0.04494166666666666
2004,Michigan,MI,4875692,7508568,7204686,0.6494000000000001,0.6766999999999999,presidential,0.6470333333333333,0.029666666666666508
2004,New York,NY,7448266,14598898,12640317,0.5102,0.5892000000000001,presidential,0.569025,0.020175000000000054
2004,Ohio,OH,5722443,8624277,8407021,0.6635,0.6807,presidential,0.6245499999999999,0.05615000000000003
2004,Utah,UT,942010,1664066,1545108,0.5661,0.6097,presidential,0.6101416666666667,-4.4166666666667354e-4
2002,California,CA,7738821,25622609,20529013,0.302,0.377,midterm,0.43526363636363635,-0.05826363636363635
2002,Florida,FL,5143674,13005435,11356610,0.39549999999999996,0.4529000000000001,midterm,0.4280181818181818,0.024881818181818283
2002,Michigan,MI,3219864,7445335,7142670,0.4325,0.4508,midterm,0.47393636363636366,-0.023136363636363677
2002,New York,NY,4690968,14504792,12555284,0.32339999999999997,0.3736,midterm,0.38945454545454544,-0.015854545454545454
2002,Ohio,OH,3356285,8556557,8348151,0.39220000000000005,0.402,midterm,0.4499818181818182,-0.04798181818181818
2002,Utah,UT,568290,1601707,1492002,0.35479999999999995,0.3809,midterm,0.41901818181818185,-0.03811818181818183
2000,California,CA,11142843,24867252,19911561,0.44809999999999994,0.5596,presidential,0.59315,-0.03354999999999997
2000,Florida,FL,6138765,12475387,10952576,0.4921,0.5605,presidential,0.5978583333333334,-0.03735833333333338
2000,Michigan,MI,4279299,7370524,7079579,0.5806,0.6044999999999999,presidential,0.6470333333333333,-0.04253333333333342
2000,New York,NY,6960215,14344348,12394560,0.4852,0.5616,presidential,0.569025,-0.007425000000000015
2000,Ohio,OH,4795989,8487355,8288750,0.5650999999999999,0.5786,presidential,0.6245499999999999,-0.045949999999999935
2000,Utah,UT,784582,1534950,1435686,0.5111,0.5465,presidential,0.6101416666666667,-0.06364166666666671
1998,California,CA,8617649,23980067,19273427,0.3594,0.4471,midterm,0.43526363636363635,0.011836363636363645
1998,Florida,FL,4070262,12001902,10586018,0.33909999999999996,0.38449999999999995,midterm,0.4280181818181818,-0.043518181818181845
1998,Michigan,MI,3143432,7276123,7004684,0.43200000000000005,0.4488,midterm,0.47393636363636366,-0.02513636363636368
1998,New York,NY,4989877,14139223,12256410,0.35290000000000005,0.4071,midterm,0.38945454545454544,0.017645454545454575
1998,Ohio,OH,3534782,8424249,8241011,0.41960000000000003,0.4289,midterm,0.4499818181818182,-0.0210818181818182
1998,Utah,UT,506553,1467078,1381936,0.3453,0.36660000000000004,midterm,0.41901818181818185,-0.05241818181818181
1996,California,CA,10263490,23076427,18653967,0.4448,0.5502,presidential,0.59315,-0.04294999999999993
1996,Florida,FL,5444245,11509122,10224190,0.473,0.5325,presidential,0.5978583333333334,-0.06535833333333341
1996,Michigan,MI,3912261,7201527,6957535,0.5433,0.5623,presidential,0.6470333333333333,-0.08473333333333333
1996,New York,NY,6439129,13942462,12170405,0.4618,0.5291,presidential,0.569025,-0.03992499999999999
1996,Ohio,OH,4638108,8366250,8188251,0.5544,0.5664,presidential,0.6245499999999999,-0.058149999999999924
1996,Utah,UT,691016,1394017,1327104,0.49570000000000003,0.5207,presidential,0.6101416666666667,-0.08944166666666664
1994,California,CA,8900593,22721586,18489178,0.3917,0.4814,midterm,0.43526363636363635,0.04613636363636364
1994,Florida,FL,4305340,11016840,9813060,0.3908,0.4387,midterm,0.4280181818181818,0.010681818181818181
1994,Michigan,MI,3177740,7081498,6856748,0.4487,0.4634,midterm,0.47393636363636366,-0.010536363636363677
1994,New York,NY,5325323,13861352,12188299,0.38420000000000004,0.43690000000000007,midterm,0.38945454545454544,0.047445454545454624
1994,Ohio,OH,3540954,8292312,8133146,0.42700000000000005,0.4354,midterm,0.4499818181818182,-0.014581818181818196
1994,Utah,UT,532737,1302522,1249119,0.409,0.4265,midterm,0.41901818181818185,0.007481818181818145
1992,California,CA,11374565,22573381,18470965,0.5039,0.6158,presidential,0.59315,0.02265000000000006
1992,Florida,FL,5438612,10591116,9507130,0.5135,0.5721,presidential,0.5978583333333334,-0.025758333333333328
1992,Michigan,MI,4341909,6990822,6783929,0.6211,0.64,presidential,0.6470333333333333,-0.007033333333333336
1992,New York,NY,7068630,13799670,12225165,0.5122000000000001,0.5782,presidential,0.569025,0.009175000000000044
1992,Ohio,OH,5043094,8208502,8063413,0.6144,0.6254,presidential,0.6245499999999999,8.500000000000174e-4
1992,Utah,UT,784988,1203861,1162930,0.6521000000000001,0.675,presidential,0.6101416666666667,0.06485833333333335
1990,California,CA,7899131,22061053,18145803,0.3581,0.4353,midterm,0.43526363636363635,3.6363636363667684e-5
1990,Florida,FL,2378471,10137720,9144447,0.23459999999999998,0.3861,midterm,0.4280181818181818,-0.0419181818181818
1990,Michigan,MI,2641649,6872954,6694355,0.38439999999999996,0.3946,midterm,0.47393636363636366,-0.07933636363636365
1990,New York,NY,4290261,13742688,12270687,0.3122,0.3496,midterm,0.38945454545454544,-0.03985454545454542
1990,Ohio,OH,3620469,8103382,7974319,0.4468,0.45399999999999996,midterm,0.4499818181818182,0.004018181818181754
1990,Utah,UT,457983,1116922,1085648,0.41,0.42190000000000005,midterm,0.41901818181818185,0.0028818181818182076
1988,California,CA,10194539,21249801,17745548,0.4797,0.5745,presidential,0.59315,-0.018649999999999944
1988,Florida,FL,4302037,9651236,8778408,0.4457,0.4901,presidential,0.5978583333333334,-0.1077583333333334
1988,Michigan,MI,3745751,6773776,6610688,0.5529999999999999,0.5666,presidential,0.6470333333333333,-0.08043333333333336
1988,New York,NY,6636310,13659215,12296727,0.4858,0.5397,presidential,0.569025,-0.029325000000000045
1988,Ohio,OH,4505284,7986220,7871910,0.5640999999999999,0.5723,presidential,0.6245499999999999,-0.05224999999999991
1988,Utah,UT,661546,1069800,1043055,0.6184,0.6342,presidential,0.6101416666666667,0.024058333333333293
1986,California,CA,7617142,20222886,17157466,0.37670000000000003,0.444,midterm,0.43526363636363635,0.008736363636363653
1986,Florida,FL,3429996,9158241,8384044,0.37449999999999994,0.40909999999999996,midterm,0.4280181818181818,-0.018918181818181834
1986,Michigan,MI,2468009,6674856,6520617,0.3697,0.37849999999999995,midterm,0.47393636363636366,-0.09543636363636371
1986,New York,NY,4481718,13512043,12268721,0.3317,0.3653,midterm,0.38945454545454544,-0.02415454545454543
1986,Ohio,OH,3628870,7891503,7782233,0.4598,0.46630000000000005,midterm,0.4499818181818182,0.016318181818181843
1986,Utah,UT,445499,1049339,1024155,0.42460000000000003,0.435,midterm,0.41901818181818185,0.015981818181818153
1984,California,CA,9796375,19270739,16614618,0.5084,0.5896,presidential,0.59315,-0.003549999999999942
1984,Florida,FL,4180051,8656427,7976056,0.48290000000000005,0.5241,presidential,0.5978583333333334,-0.07375833333333337
1984,Michigan,MI,3884854,6550877,6405255,0.593,0.6065,presidential,0.6470333333333333,-0.04053333333333331
1984,New York,NY,7000828,13373558,12232979,0.5235,0.5723,presidential,0.569025,0.003275000000000028
1984,Ohio,OH,4664223,7836806,7731982,0.5952000000000001,0.6032,presidential,0.6245499999999999,-0.02134999999999998
1984,Utah,UT,641846,1022083,998575,0.628,0.6428,presidential,0.6101416666666667,0.032658333333333345
1982,California,CA,8064314,18448245,16162454,0.4371,0.499,midterm,0.43526363636363635,0.06373636363636365
1982,Florida,FL,2211624,8139171,7564062,0.2717,0.3554,midterm,0.4280181818181818,-0.0726181818181818
1982,Michigan,MI,3135928,6498711,6360322,0.4825,0.493,midterm,0.47393636363636366,0.019063636363636338
1982,New York,NY,5437367,13150573,12115273,0.4134999999999999,0.4488,midterm,0.38945454545454544,0.059345454545454535
1982,Ohio,OH,3551995,7793022,7689982,0.4558,0.46190000000000003,midterm,0.4499818181818182,0.011918181818181828
1982,Utah,UT,537207,984073,962423,0.5459,0.5582,midterm,0.41901818181818185,0.13918181818181818
1980,California,CA,8775459,17551451,15616072,0.5,0.562,presidential,0.59315,-0.0311499999999999
1980,Florida,FL,2923736,7575002,7086641,0.386,0.5203,presidential,0.5978583333333334,-0.0775583333333334
1980,Michigan,MI,3978647,6514790,6375885,0.6107,0.624,presidential,0.6470333333333333,-0.02303333333333335
1980,New York,NY,6359218,12932357,12011490,0.4917,0.5294,presidential,0.569025,-0.03962500000000002
1980,Ohio,OH,4378937,7732705,7634156,0.5663,0.5736,presidential,0.6245499999999999,-0.05094999999999994
1980,Utah,UT,609691,934767,915137,0.6522,0.6661999999999999,presidential,0.6101416666666667,0.05605833333333321
