year,state,state_abv,total_ballots_counted,vap,noncitizen_pct,ineligible_prison,ineligible_probation,ineligible_parole,ineligible_felons_total,eligible_overseas,vep,vep_turnout_rate,vap_turnout_rate,election_type
2022,Hawaii,HI,423443,1142024,0.0753,3993,9802,0,13795,NA,1042235,0.40630000000000005,0.37079999999999996,midterm
2022,Idaho,ID,595350,1479695,0.038099999999999995,8018,17180,6922,32120,NA,1391199,0.42790000000000006,0.40230000000000005,midterm
2022,Illinois,IL,4144125,9835042,0.08,29147,0,0,29147,NA,9019092,0.45949999999999996,0.4214,midterm
2022,Indiana,IN,1880755,5251799,0.0397,25066,0,0,25066,NA,5018237,0.37479999999999997,0.3581,midterm
2022,Iowa,IA,1230417,2469712,0.0374,8123,17089,6411,31623,NA,2345722,0.5245,0.4982,midterm
2022,Kansas,KS,1008998,2240338,0.049100000000000005,8534,9659,5058,23251,NA,2107086,0.4789,0.45039999999999997,midterm
2022,Kentucky,KY,1502550,3497991,0.025,19443,33748,13271,66462,NA,3344079,0.4493,0.42949999999999994,midterm
2022,Louisiana,LA,1410466,3509403,0.0269,27272,17414,19087,63773,NA,3351228,0.42090000000000005,0.40190000000000003,midterm
2022,Maine,ME,680909,1141080,0.0177,0,0,0,0,NA,1120883,0.6075,0.5967,midterm
2022,Maryland,MD,2031635,4804542,0.0845,14951,0,0,14951,NA,4383608,0.46349999999999997,0.42290000000000005,midterm
2022,Massachusetts,MA,2511461,5641587,0.0898,5647,0,0,5647,NA,5129325,0.48960000000000004,0.44520000000000004,midterm
2022,Michigan,MI,4500400,7908417,0.0336,32054,0,0,32054,NA,7610641,0.5913,0.5690999999999999,midterm
2022,Minnesota,MN,2526646,4415525,0.04019999999999999,8616,55900,6979,71495,NA,4166526,0.6064,0.5722,midterm
2022,Mississippi,MS,709100,2255523,0.016,19620,19747,10973,50340,NA,2169095,0.3269,0.31439999999999996,midterm
2022,Missouri,MO,2304250,4804425,0.0227,23885,24349,18238,66472,NA,4628893,0.4978,0.4796,midterm
2022,Montana,MT,468326,889939,0.0132,4434,0,0,4434,NA,873758,0.536,0.5262,midterm
2022,Nebraska,NE,682716,1489618,0.0471,4835,7423,935,13193,NA,1406264,0.4855,0.4583,midterm
2022,Nevada,NV,1023617,2491820,0.10490000000000001,10241,0,0,10241,NA,2220187,0.461,0.4108,midterm
2022,New Hampshire,NH,626931,1145802,0.0263,1083,0,0,1083,NA,1114584,0.5625,0.5472,midterm
